run,model,NDCG@3,NDCG@5,NDCG@10,Precision@3,Precision@5,Precision@10,HitRate@3,HitRate@5,HitRate@10
2026-02-10_18-16-19,Transformer,0.10986814138226683,0.13328830375063283,0.1663402457960959,0.048129021475724905,0.040306843820506394,0.03041564301830033,0.14438706442717472,0.20153421910253197,0.30415643018300326
2026-02-10_18-16-19,Markov Chain,0.052391304841206826,0.06464028399311395,0.08357123137329106,0.02317038522603827,0.01988067184758085,0.015844572574580097,0.06951115567811482,0.09940335923790423,0.15844572574580096
2026-02-10_18-16-19,SVD (CF),0.005957150556781231,0.008795436005266725,0.014631404495433547,0.0028812567895044705,0.0031145650538982202,0.003384306843820506,0.008643770368513411,0.0155728252694911,0.033843068438205066
2026-02-10_18-16-19,Popularity,0.0043714997264621145,0.006063178779945958,0.009257548434312651,0.001995487590874906,0.002027575833542241,0.002004512409125094,0.005986462772624718,0.010137879167711205,0.020045124091250942
